10.06.2021                                                                                                                                                                                                                                 Dynamic List Display                                                                                                                                                                                                                                         1
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  MANDT|ID_REGISTRO|TIPO_DOCUMENTO|REFERENCIA      |FECHA_DOCUMENTO|MODALIDAD|FECHA_INI_CONTRATO|FECHA_FIN_CONTRATO|COD_COLAB |NOMBRE_COLAB|NIF_COLAB|AGENCIA|SO|SGR|CGR|COMER| COD_CLIENTE|NOMBRE_CLIENTE |NIF_CLIENTE|DATOS_CONTRATO|COD_ALM   |NOMBRE_ALM      |NIF_ALM  |FECHA_CREACION|HORA_CREACION|USUARIO_CREACION|FECHA_MOD |HORA_MOD|USUARIO_MOD|NOTAS_ADICIONALES                                 |DUR_CONTRATO|DUR_SUF|CONTRATO_UNI|CONTRATO_CIMP|PLAZO_NEXC|ABONO_MAN|ABONO_AUT|FECHA_GEN |
|  100  |00000000016|CR            |                |11.05.2021     |SM       |13.05.2021        |06.01.2022        |          |            |         |       |  |   |   |     |000000000004|               |           |              |          |                |         |              |00:00:00     |                |          |00:00:00|           |                                                  |          08|X      |X           |             |          |         |         |30.03.2022|
|  100  |00000000017|              |                |28.05.2021     |VM       |27.01.2021        |22.09.2021        |          |            |         |       |  |   |   |     |000000000005|               |           |              |          |                |         |              |00:00:00     |                |          |00:00:00|           |                                                  |          08|X      |X           |             |          |         |         |  .  .X   |
|  100  |00000000018|CR            |                |27.05.2021     |SM       |26.05.2021        |10.12.2021        |          |            |         |       |  |   |   |     |000000000006|               |           |              |          |                |         |              |00:00:00     |                |          |00:00:00|           |                                                  |          07|X      |X           |             |X         |         |         |28.05.2021|
|  100  |00000000019|CR            |CONTRATO RENTING|28.05.2021     |SM       |01.04.2021        |31.08.2021        |          |            |         |       |  |   |   |     |000000000007|               |           |              |          |                |         |              |00:00:00     |                |          |00:00:00|           |                                                  |          04|X      |X           |             |X         |X        |         |28.05.2021|
|  100  |00000000020|CR            |CONTRATO RENTING|19.05.2021     |SM       |23.04.2021        |07.08.2021        |1         |            |         |       |  |   |   |     |000000000008|               |           |X             |1         |                |         |              |00:00:00     |                |          |00:00:00|           |IMPORTANTE                                        |          04|X      |X           |             |X         |X        |         |16.06.2021|
|  100  |00000000021|CR            |                |28.05.2021     |SM       |08.01.2021        |16.07.2021        |          |            |         |       |  |   |   |     |000000000009|               |           |X             |          |                |         |              |00:00:00     |                |          |00:00:00|           |                                                  |          06|X      |X           |             |X         |X        |         |29.05.2021|
|  100  |00000000022|CR            |                |27.05.2021     |SM       |02.04.2021        |30.08.2021        |          |            |         |       |  |   |   |     |000000000010|               |           |X             |          |                |         |              |00:00:00     |                |          |00:00:00|           |                                                  |          04|X      |X           |             |X         |X        |         |28.05.2021|
|  100  |00000000026|CR            |                |01.06.2021     |SM       |23.04.2021        |03.06.2023        |          |            |         |       |  |   |   |     |000000000099|               |           |              |          |                |         |              |00:00:00     |                |          |00:00:00|           |                                                  |          26|X      |X           |             |X         |X        |         |01.06.2021|
|  100  |00000000031|CR            |                |25.05.2021     |SM       |01.09.2021        |06.01.2022        |          |            |         |       |  |   |   |     |000000000095|               |           |              |          |                |         |              |00:00:00     |                |          |00:00:00|           |NOT                                               |          04|X      |X           |             |X         |X        |         |25.05.2021|
|  100  |00000000032|CR            |                |01.06.2021     |SM       |24.04.2021        |13.08.2021        |          |            |         |       |  |   |   |     |000000000094|               |           |              |          |                |         |              |00:00:00     |                |          |00:00:00|           |                                                  |          04|X      |X           |             |X         |X        |         |01.06.2021|
|  100  |00000000033|CR            |                |01.06.2021     |SM       |25.03.2021        |06.08.2021        |          |            |         |       |  |   |   |     |000000000093|               |           |              |          |                |         |              |00:00:00     |                |          |00:00:00|           |                                                  |          05|X      |X           |             |X         |X        |         |01.06.2021|
|  100  |00000000034|CR            |                |01.06.2021     |SM       |23.04.2021        |01.08.2021        |          |            |         |       |  |   |   |     |000000000092|               |           |              |          |                |         |              |00:00:00     |                |          |00:00:00|           |                                                  |          04|X      |X           |             |X         |X        |         |01.06.2021|
|  100  |00000000035|CR            |                |01.06.2021     |SM       |21.04.2021        |05.09.2021        |          |            |         |       |  |   |   |     |000000000091|               |           |              |          |                |         |              |00:00:00     |                |          |00:00:00|           |                                                  |          05|X      |X           |             |X         |X        |         |01.06.2021|
|  100  |00000000036|CR            |                |01.06.2021     |SM       |21.04.2021        |04.09.2021        |          |            |         |       |  |   |   |     |000000000090|               |           |              |          |                |         |              |00:00:00     |                |          |00:00:00|           |                                                  |          05|X      |X           |             |X         |X        |         |01.06.2021|
|  100  |00000000037|CR            |                |01.06.2021     |SM       |14.02.2021        |13.06.2021        |          |            |         |       |  |   |   |     |000000000089|               |           |              |          |                |         |              |00:00:00     |                |          |00:00:00|           |                                                  |          04|X      |X           |             |X         |X        |         |01.06.2021|
|  100  |00000000038|CR            |                |01.06.2021     |SM       |23.04.2021        |01.08.2021        |          |            |         |       |  |   |   |     |000000000088|               |           |              |          |                |         |              |00:00:00     |                |          |00:00:00|           |                                                  |          04|X      |X           |             |X         |X        |         |01.06.2021|
|  100  |00000000039|CR            |                |01.06.2021     |SM       |31.01.2021        |01.05.2021        |          |            |         |       |  |   |   |     |000000000098|               |           |              |          |                |         |              |00:00:00     |                |          |00:00:00|           |                                                  |          04|X      |X           |             |X         |X        |         |01.06.2021|
|  100  |00000000040|CR            |                |01.06.2021     |SM       |31.01.2023        |31.08.2023        |          |            |         |       |  |   |   |     |000000000078|               |           |              |          |                |         |              |00:00:00     |                |          |00:00:00|           |                                                  |          07|X      |X           |             |X         |X        |         |01.06.2021|
|  100  |00000000041|CR            |                |01.06.2021     |SM       |13.02.2021        |13.06.2021        |          |            |         |       |  |   |   |     |000000000087|               |           |X             |          |                |         |              |00:00:00     |                |          |00:00:00|           |                                                  |          04|X      |X           |             |X         |X        |         |01.06.2021|
|  100  |00000000042|CR            |                |01.06.2021     |SM       |31.01.2021        |30.05.2021        |          |            |         |       |  |   |   |     |000000000086|               |           |              |          |                |         |              |00:00:00     |                |          |00:00:00|           |                                                  |          04|X      |X           |             |X         |X        |         |01.06.2021|
|  100  |00000000043|CR            |                |02.06.2021     |SM       |23.04.2021        |24.09.2021        |          |            |         |       |  |   |   |     |000000000085|               |           |              |          |                |         |              |00:00:00     |                |          |00:00:00|           |                                                  |          05|X      |X           |             |X         |X        |         |10.07.2021|
|  100  |00000000044|CR            |                |01.06.2021     |SM       |07.02.2021        |12.09.2021        |          |            |         |       |  |   |   |     |000000000084|               |           |              |          |                |         |              |00:00:00     |                |          |00:00:00|           |                                                  |          07|X      |X           |             |X         |X        |         |01.06.2021|
|  100  |00000000045|CR            |                |01.06.2021     |SM       |07.02.2021        |10.07.2021        |          |            |         |       |  |   |   |     |000000000083|               |           |              |          |                |         |              |00:00:00     |                |          |00:00:00|           |                                                  |          05|X      |X           |             |X         |X        |         |01.06.2021|
|  100  |00000000046|CR            |                |01.06.2021     |SM       |31.01.2021        |04.07.2021        |          |            |         |       |  |   |   |     |000000000082|               |           |              |          |                |         |              |00:00:00     |                |          |00:00:00|           |                                                  |          06|X      |X           |             |X         |X        |         |01.06.2021|
|  100  |00000000047|CR            |                |01.06.2021     |SM       |30.04.2021        |01.08.2021        |          |            |         |       |  |   |   |     |000000000081|               |           |              |          |                |         |              |00:00:00     |                |          |00:00:00|           |                                                  |          04|X      |X           |             |X         |X        |         |01.06.2021|
|  100  |00000000048|CR            |                |01.06.2021     |SM       |23.02.2021        |10.07.2021        |          |            |         |       |  |   |   |     |000000000077|               |           |              |          |                |         |              |00:00:00     |                |          |00:00:00|           |                                                  |          05|X      |X           |X            |X         |         |X        |01.06.2021|
|  100  |00000000049|CR            |                |01.06.2021     |SM       |22.04.2021        |01.08.2021        |          |            |         |       |  |   |   |     |000000000076|               |           |              |          |                |         |              |00:00:00     |                |          |00:00:00|           |                                                  |          04|X      |X           |             |X         |X        |         |01.06.2021|
|  100  |00000000050|CR            |CONTRATO RENTING|01.06.2021     |SM       |22.04.2021        |01.08.2021        |          |            |         |       |  |   |   |     |000000000075|               |           |X             |          |                |         |              |00:00:00     |                |          |00:00:00|           |NOTA IMPORTANTE                                   |          04|X      |X           |X            |X         |         |X        |01.06.2021|
|  100  |00000000052|CR            |                |01.06.2021     |SM       |21.04.2021        |08.08.2021        |          |            |         |       |  |   |   |     |000000000074|               |           |X             |          |                |         |              |00:00:00     |                |          |00:00:00|           |                                                  |          04|X      |X           |X            |X         |         |X        |01.06.2021|
|  100  |00000000053|CR            |CONTRATO RENTING|01.06.2021     |SM       |24.01.2021        |26.09.2021        |          |            |         |       |  |   |   |     |000000000073|               |           |X             |          |                |         |              |00:00:00     |                |          |00:00:00|           |AHA                                               |          08|X      |X           |X            |X         |         |X        |01.06.2021|
|  100  |00000000054|CR            |CONTRATO RENTING|01.06.2021     |SM       |23.04.2021        |07.08.2021        |1         |            |         |       |  |   |   |     |000000000072|               |           |X             |1         |                |         |              |00:00:00     |                |          |00:00:00|           |PRUEBA NO TODOS                                   |          04|X      |X           |X            |X         |         |X        |01.06.2021|
|  100  |00000000055|CR            |CONTRATO RENTING|01.06.2021     |SM       |07.02.2021        |19.09.2021        |2         |            |         |       |  |   |   |     |000000000071|               |           |X             |2         |                |         |              |00:00:00     |                |          |00:00:00|           |NOTAS                                             |          07|X      |X           |?            |X         |X        |         |01.06.2021|
|  100  |00000000056|CR            |                |02.06.2021     |SM       |22.04.2021        |22.08.2021        |          |            |         |       |  |   |   |     |000000000070|               |           |X             |          |                |         |              |00:00:00     |                |          |00:00:00|           |APP TOOLBAR                                       |          04|X      |X           |X            |X         |         |X        |02.06.2021|
|  100  |00000000057|CR            |                |02.06.2021     |SM       |24.04.2021        |01.08.2021        |          |            |         |       |  |   |   |     |000000000069|               |           |              |          |                |         |              |00:00:00     |                |          |00:00:00|           |                                                  |          04|X      |X           |X            |X         |         |X        |02.06.2021|
|  100  |00000000058|CR            |CONTRATO RENTING|02.06.2019     |SM       |29.04.2018        |02.08.2018        |0000000002|COLAB2      |00000002F|       |  |   |   |     |000000000001|PRIMER CLIENTE |76567567J  |              |0000000002|CLARA ABALANZABA|B29192727|              |00:00:00     |                |          |00:00:00|           |                                                  |          04|X      |X           |X            |X         |         |X        |02.06.2019|
|  100  |00000000059|CR            |CONTRATO RENTING|02.04.2018     |SM       |02.05.2018        |10.09.2018        |0000000002|COLAB2      |00000002F|       |  |   |   |     |000000000002|SEGUNDO CLIENTE|12332123A  |              |0000000001|JULIO EMBALDE   |A80192727|              |00:00:00     |                |          |00:00:00|           |PRUEBA GENERAL                                    |          04|X      |X           |X            |X         |         |X        |20.04.2018|
|  100  |00000000060|CR            |                |09.07.2021     |SM       |22.03.2021        |15.07.2021        |          |            |         |       |  |   |   |     |000000000068|               |           |              |          |                |         |              |00:00:00     |                |          |00:00:00|           |                                                  |          04|X      |X           |?            |X         |X        |         |02.08.2021|
|  100  |00000000061|CR            |                |02.06.2022     |SM       |14.01.2023        |08.07.2023        |0000000002|COLAB2      |00000002F|       |  |   |   |     |000000000002|SEGUNDO CLIENTE|12332123A  |              |0000000001|JULIO EMBALDE   |A80192727|              |00:00:00     |                |          |00:00:00|           |PRUEBA SELECT                                     |          06|X      |X           |X            |X         |         |X        |02.06.2022|
|  100  |00000000062|CR            |CONTRATO RENTING|02.06.2017     |SM       |22.04.2017        |05.08.2017        |0000000002|COLAB2      |00000002F|       |  |   |   |     |000000000002|SEGUNDO CLIENTE|12332123A  |              |0000000002|CLARA ABALANZABA|B29192727|              |00:00:00     |                |          |00:00:00|           |PRUE GEN 2                                        |          04|X      |X           |?            |X         |X        |         |02.06.2017|
|  100  |00000000063|CR            |                |02.06.2021     |SM       |22.04.2021        |26.08.2021        |          |            |         |       |  |   |   |     |000000000067|               |           |              |          |                |         |              |00:00:00     |                |          |00:00:00|           |                                                  |          04|X      |X           |?            |X         |X        |         |02.06.2021|
|  100  |00000000064|CR            |                |02.06.2021     |SM       |04.02.2021        |15.07.2021        |          |            |         |       |  |   |   |     |000000000066|               |           |              |          |                |         |              |00:00:00     |                |          |00:00:00|           |                                                  |          05|X      |X           |X            |X         |         |X        |02.06.2021|
|  100  |00000000065|CR            |CONTRATO RENTING|02.06.2016     |SM       |22.04.2016        |06.08.2016        |0000000002|COLAB2      |00000002F|       |  |   |   |     |000000000001|PRIMER CLIENTE |76567567J  |X             |0000000002|CLARA ABALANZABA|B29192727|              |00:00:00     |                |          |00:00:00|           |PRUEB GEN 3                                       |          04|X      |X           |X            |X         |         |X        |02.06.2016|
|  100  |00000000066|CR            |                |02.06.2021     |SM       |25.02.2021        |08.07.2021        |          |            |         |       |  |   |   |     |000000000065|               |           |              |          |                |         |              |00:00:00     |                |          |00:00:00|           |                                                  |          05|X      |X           |X            |X         |         |X        |02.06.2021|
|  100  |00000000067|CR            |                |02.06.2015     |AL       |24.02.2015        |22.07.2015        |0000000002|COLAB2      |00000002F|       |  |   |   |     |000000000002|SEGUNDO CLIENTE|12332123A  |X             |0000000002|CLARA ABALANZABA|B29192727|              |00:00:00     |                |          |00:00:00|           |                                                  |          05|X      |X           |X            |X         |         |X        |02.06.2015|
|  100  |00000000068|CR            |                |02.06.2021     |SM       |25.02.2021        |23.09.2021        |          |            |         |       |  |   |   |     |000000000064|               |           |              |          |                |         |              |00:00:00     |                |          |00:00:00|           |                                                  |          07|X      |X           |X            |X         |         |X        |02.06.2021|
|  100  |00000000069|CR            |                |02.06.2021     |SM       |18.03.2021        |06.08.2021        |          |            |         |       |  |   |   |     |000000000063|               |           |              |          |                |         |              |00:00:00     |                |          |00:00:00|           |                                                  |          05|X      |X           |X            |X         |         |X        |02.06.2021|
|  100  |00000000070|CR            |                |03.06.2019     |SM       |25.02.2021        |22.07.2021        |0000000001|COLAB1      |00000001F|       |  |   |   |     |000000000002|SEGUNDO CLIENTE|12332123A  |              |0000000001|JULIO EMBALDE   |A80192727|              |00:00:00     |                |          |00:00:00|           |                                                  |          05|X      |X           |X            |          |X        |         |          |
|  100  |00000000071|CR            |                |03.06.2011     |VM       |14.01.2021        |17.09.2021        |0000000002|COLAB2      |00000002F|       |  |   |   |     |000000000001|PRIMER CLIENTE |76567567J  |X             |0000000002|CLARA ABALANZABA|B29192727|              |00:00:00     |                |          |00:00:00|           |                                                  |          08|X      |X           |X            |X         |         |X        |03.06.2011|
|  100  |00000000072|CR            |RENTING         |12.05.2013     |AL       |13.04.2013        |01.08.2013        |0000000002|COLAB2      |00000002F|       |  |   |   |     |000000000002|SEGUNDO CLIENTE|12332123A  |X             |0000000002|CLARA ABALANZABA|B29192727|              |00:00:00     |                |09.06.2021|00:00:00|           |PRUEBA CON COPIA EN DETALLE DE ID REGISTRO GENERAL|          04|X      |X           |X            |          |X        |         |09.06.2021|
|  100  |00000000073|CR            |CONTRATO RENTING|29.04.2013     |MI       |29.04.2013        |01.08.2013        |0000000001|COLAB1      |00000001F|       |  |   |   |     |000000000001|PRIMER CLIENTE |76567567J  |              |0000000001|JULIO EMBALDE   |A80192727|07.06.2021    |11:14:47     |ARUIZ           |09.06.2021|00:00:00|ARUIZ      |PRUEBA $ DE SYST                                  |          04|X      |X           |X            |          |X        |         |09.06.2021|
|  100  |00000000074|CR            |CONTRATO RENTING|09.06.2021     |VM       |18.02.2021        |09.09.2021        |0000000001|COLAB1      |00000001F|       |  |   |   |     |000000000059|NO REGISTRO    |12332123T  |              |0000000002|CLARA ABALANZABA|B29192727|09.06.2021    |09:48:08     |ARUIZ           |          |00:00:00|           |PRUEBA CON MODIFICACIÓN AUTO Y CLIENTE NO REGISTR |          07|X      |X           |X            |          |X        |         |          |
|  100  |00000000075|CR            |CONTRATO RENTING|09.06.2010     |MI       |06.04.2010        |06.08.2010        |0000000002|COLAB2      |00000002F|       |  |   |   |     |000000000001|PRIMER CLIENTE |76567567J  |X             |0000000002|CLARA ABALANZABA|B29192727|09.06.2021    |09:57:56     |ARUIZ           |09.06.2021|00:00:00|ARUIZ      |                                                  |          04|X      |X           |X            |          |X        |         |09.06.2021|
|  100  |00000000076|CR            |CONTRATO RENTING|09.06.2010     |VM       |29.04.2010        |22.08.2010        |0000000002|COLAB2      |00000002F|       |  |   |   |     |000000000002|SEGUNDO CLIENTE|12332123A  |X             |0000000002|CLARA ABALANZABA|B29192727|09.06.2021    |10:33:45     |ARUIZ           |09.06.2021|00:00:00|ARUIZ      |                                                  |          04|X      |X           |X            |          |X        |         |09.06.2021|
|  100  |00000000077|CR            |CONTRATO RENTING|09.06.2009     |MI       |21.01.2009        |30.07.2009        |0000000001|COLAB1      |00000001F|       |  |   |   |     |000000000001|PRIMER CLIENTE |76567567J  |X             |0000000001|JULIO EMBALDE   |A80192727|09.06.2021    |10:35:08     |ARUIZ           |09.06.2021|00:00:00|ARUIZ      |                                                  |          06|X      |X           |X            |          |X        |         |09.06.2021|
|  100  |00000000078|CR            |CONTRATO RENTING|09.06.2021     |VM       |06.03.2021        |09.08.2021        |0000000022|--          |00000022G|       |  |   |   |     |000000000011|--             |22222222J  |X             |0000000012|--              |B29192727|09.06.2021    |10:37:36     |ARUIZ           |          |00:00:00|           |                                                  |          05|X      |X           |X            |          |X        |         |          |
|  100  |00000000079|CR            |CONTRATO RENTING|18.05.2008     |SM       |05.04.2008        |05.08.2008        |0000000001|COLAB1      |00000001F|       |  |   |   |     |000000000002|SEGUNDO CLIENTE|12332123A  |              |0000000002|CLARA ABALANZABA|B29192727|09.06.2021    |10:52:11     |ARUIZ           |09.06.2021|00:00:00|ARUIZ      |                                                  |          04|X      |X           |X            |          |X        |         |09.06.2021|
|  100  |00000000080|CR            |CONTRATO RENTING|09.06.2008     |SM       |06.01.2008        |17.06.2008        |0000000002|COLAB2      |00000002F|       |  |   |   |     |000000000001|PRIMER CLIENTE |76567567J  |              |0000000001|JULIO EMBALDE   |A80192727|09.06.2021    |10:52:54     |ARUIZ           |09.06.2021|00:00:00|ARUIZ      |                                                  |          05|X      |X           |X            |          |X        |         |09.06.2021|
|  100  |00000000081|CR            |                |29.04.2021     |SM       |06.04.2021        |15.08.2021        |58        |--          |11111111J|       |  |   |   |     |000000000058|--             |22222222J  |              |58        |--              |33333333J|09.06.2021    |10:54:08     |ARUIZ           |          |00:00:00|           |                                                  |          04|X      |X           |X            |          |X        |         |          |
|  100  |00000000082|CR            |CONTRATO RENTING|09.06.2007     |SM       |04.03.2007        |02.07.2007        |0000000001|COLAB1      |00000001F|       |  |   |   |     |000000000001|PRIMER CLIENTE |76567567J  |              |0000000001|JULIO EMBALDE   |A80192727|09.06.2021    |10:59:39     |ARUIZ           |09.06.2021|00:00:00|ARUIZ      |                                                  |          04|X      |X           |X            |          |X        |         |09.06.2021|
|  100  |00000000083|CR            |CONTRATO RENTING|09.06.2007     |SM       |14.04.2007        |15.08.2007        |0000000002|COLAB2      |00000002F|       |  |   |   |     |000000000002|SEGUNDO CLIENTE|12332123A  |              |0000000002|CLARA ABALANZABA|B29192727|09.06.2021    |11:00:44     |ARUIZ           |09.06.2021|00:00:00|ARUIZ      |                                                  |          04|X      |X           |X            |          |X        |         |09.06.2021|
|  100  |00000000084|CR            |CONTRATO RENTING|28.04.2006     |VM       |10.02.2006        |06.07.2006        |0000000001|COLAB1      |00000001F|       |  |   |   |     |000000000001|PRIMER CLIENTE |76567567J  |              |0000000001|JULIO EMBALDE   |A80192727|09.06.2021    |11:13:40     |ARUIZ           |09.06.2021|00:00:00|ARUIZ      |                                                  |          05|X      |X           |X            |          |X        |         |09.06.2021|
|  100  |00000000085|CR            |CONTRATO RENTING|09.06.2006     |AL       |11.03.2006        |09.08.2006        |0000000002|COLAB2      |00000002F|       |  |   |   |     |000000000002|SEGUNDO CLIENTE|12332123A  |              |0000000002|CLARA ABALANZABA|B29192727|09.06.2021    |11:14:30     |ARUIZ           |09.06.2021|00:00:00|ARUIZ      |                                                  |          05|X      |X           |X            |          |X        |         |09.06.2021|
|  100  |00000000086|CR            |RENTING         |09.06.2005     |MI       |29.03.2005        |08.07.2005        |0000000001|COLAB1      |00000001F|       |  |   |   |     |000000000001|PRIMER CLIENTE |76567567J  |              |0000000001|JULIO EMBALDE   |A80192727|09.06.2021    |11:19:55     |ARUIZ           |09.06.2021|00:00:00|ARUIZ      |                                                  |          04|X      |X           |X            |          |X        |         |09.06.2021|
|  100  |00000000087|CR            |CR              |28.04.2005     |SM       |27.02.2005        |14.07.2005        |0000000002|COLAB2      |00000002F|       |  |   |   |     |000000000002|SEGUNDO CLIENTE|12332123A  |X             |0000000002|CLARA ABALANZABA|B29192727|09.06.2021    |11:21:25     |ARUIZ           |09.06.2021|00:00:00|ARUIZ      |                                                  |          05|X      |X           |X            |          |X        |         |09.06.2021|
|  100  |00000000088|CR            |CONTRATO RENTING|09.06.2004     |SM       |28.04.2004        |29.08.2004        |0000000001|COLAB1      |00000001F|       |  |   |   |     |000000000002|SEGUNDO CLIENTE|12332123A  |              |0000000002|CLARA ABALANZABA|B29192727|09.06.2021    |11:23:01     |ARUIZ           |09.06.2021|00:00:00|ARUIZ      |                                                  |          04|X      |X           |X            |          |X        |         |09.06.2021|
|  100  |00000000089|CR            |CONTRATO RENTING|09.06.2021     |SM       |18.03.2021        |16.08.2021        |57        |            |         |       |  |   |   |     |000000000057|               |           |              |57        |                |         |09.06.2021    |11:24:21     |ARUIZ           |          |00:00:00|           |                                                  |          05|X      |X           |X            |X         |         |X        |09.06.2021|
|  100  |00000000090|CR            |CONTRATO RENTING|28.04.2004     |AL       |06.02.2004        |13.08.2004        |0000000001|COLAB1      |00000001F|       |  |   |   |     |000000000001|PRIMER CLIENTE |76567567J  |X             |0000000001|JULIO EMBALDE   |A80192727|09.06.2021    |11:32:48     |ARUIZ           |09.06.2021|00:00:00|ARUIZ      |                                                  |          06|X      |X           |X            |          |X        |         |09.06.2021|
|  100  |00000000091|CR            |CR              |05.05.2003     |SM       |05.02.2003        |09.06.2003        |0000000001|COLAB1      |00000001F|       |  |   |   |     |000000000001|PRIMER CLIENTE |76567567J  |              |0000000001|JULIO EMBALDE   |A80192727|09.06.2021    |11:37:41     |ARUIZ           |09.06.2021|00:00:00|ARUIZ      |                                                  |          04|X      |X           |X            |          |X        |         |09.06.2021|
|  100  |00000000092|CR            |CR              |28.04.2003     |VM       |06.03.2003        |21.07.2003        |0000000002|COLAB2      |00000002F|       |  |   |   |     |000000000002|SEGUNDO CLIENTE|12332123A  |X             |0000000002|CLARA ABALANZABA|B29192727|09.06.2021    |11:39:08     |ARUIZ           |09.06.2021|00:00:00|ARUIZ      |                                                  |          04|X      |X           |X            |          |X        |         |09.06.2021|
|  100  |00000000093|CR            |CONTRATO RENTING|06.05.2002     |SM       |25.03.2002        |08.07.2002        |0000000001|COLAB1      |00000001F|       |  |   |   |     |000000000001|PRIMER CLIENTE |76567567J  |              |0000000001|JULIO EMBALDE   |A80192727|09.06.2021    |12:50:26     |ARUIZ           |09.06.2021|00:00:00|ARUIZ      |PROBANDO BACKGROUND JOB CON EMAIL                 |          04|X      |X           |X            |          |X        |         |09.06.2021|
|  100  |00000000094|CR            |CR              |29.04.2002     |VM       |15.04.2002        |01.08.2002        |0000000002|COLAB2      |00000002F|       |  |   |   |     |000000000002|SEGUNDO CLIENTE|12332123A  |X             |0000000002|CLARA ABALANZABA|B29192727|09.06.2021    |12:51:51     |ARUIZ           |09.06.2021|00:00:00|ARUIZ      |PRUEBA MISMO JOB, OTRO PRECIP                     |          04|X      |X           |X            |          |X        |         |09.06.2021|
|  100  |00000000095|CR            |CONTRATO RENTING|09.06.2001     |VM       |29.04.2001        |02.08.2001        |0000000001|COLAB1      |00000001F|       |  |   |   |     |000000000001|PRIMER CLIENTE |76567567J  |X             |0000000001|JULIO EMBALDE   |A80192727|09.06.2021    |13:52:39     |ARUIZ           |09.06.2021|00:00:00|ARUIZ      |PRUEBA JOB CON AJUSTE                             |          04|X      |X           |X            |          |X        |         |09.06.2021|
